grp	dat	mod	rep	horiz	var	val
2B	20181106	bas	2	litière	macrofaune	Oniscus.asellus
2B	20181106	bas	2	litière	macrofaune	Oniscus.asellus
2B	20181106	bas	2	litière	macrofaune	Oniscus.asellus
2B	20181106	haut	2	litière	macrofaune	Oniscus.asellus
2B	20181106	haut	2	litière	macrofaune	Oniscus.asellus
2B	20181106	haut	2	litière	macrofaune	Oniscus.asellus
1A	20181109	bas	1	L	macro	Opiliones
1A	20181109	bas	1	L	macro	Opiliones
2B	20181106	bas	1	litière	macrofaune	Opiliones
2B	20181106	bas	2	litière	macrofaune	Opiliones
2B	20181106	Haut	1	litière	macrofaune	Acari
1A	20181109	bas	2	L	macro	Philoscia.muscorum
1A	20181109	bas	2	L	macro	Philoscia.muscorum
1A	20181109	bas	2	L	macro	Philoscia.muscorum
1A	20181109	bas	2	L	macro	Philoscia.muscorum
1A	20181109	bas	2	L	macro	Philoscia.muscorum
1A	20181109	bas	2	L	macro	Philoscia.muscorum
1A	20181109	bas	2	L	macro	Philoscia.muscorum
1A	20181109	bas	2	L	macro	Philoscia.muscorum
1A	20181109	bas	2	S	macro	Philoscia.muscorum
1A	20181109	bas	2	S	macro	Philoscia.muscorum
1A	20181109	bas	2	S	macro	Philoscia.muscorum
1A	20181109	bas	2	S	macro	Philoscia.muscorum
1A	20181109	bas	2	S	macro	Philoscia.muscorum
1A	20181109	bas	2	S	macro	Philoscia.muscorum
1A	20181109	bas	2	S	macro	Philoscia.muscorum
1A	20181109	milieu	2	L	macro	Philoscia.muscorum
1A	20181109	milieu	2	L	macro	Philoscia.muscorum
1A	20181109	milieu	2	L	macro	Philoscia.muscorum
1B	20181109	B	3	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	OL	especes	Philoscia.muscorum
1B	20181109	B	2	A	especes	Philoscia.muscorum
1B	20181109	B	2	A	especes	Philoscia.muscorum
1B	20181109	B	2	A	especes	Philoscia.muscorum
1B	20181109	B	1	A	especes	Philoscia.muscorum
1B	20181109	B	1	A	especes	Philoscia.muscorum
1B	20181109	B	1	A	especes	Philoscia.muscorum
1B	20181109	B	1	A	especes	Philoscia.muscorum
1B	20181109	B	1	A	especes	Philoscia.muscorum
1B	20181109	B	1	A	especes	Philoscia.muscorum
1B	20181109	B	1	OL	especes	Philoscia.muscorum
1B	20181109	B	1	OL	especes	Philoscia.muscorum
1B	20181109	B	1	OL	especes	Philoscia.muscorum
1B	20181109	B	1	OL	especes	Philoscia.muscorum
1B	20181109	B	1	OL	especes	Philoscia.muscorum
1B	20181109	B	1	OL	especes	Philoscia.muscorum
2A	20181107	B	1	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	1	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	1	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	1	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	1	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	1	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	1	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Litière	Espèce	Philoscia.muscorum
2A	20181107	B	3	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	3	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	3	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	3	Sol	Espèce	Philoscia.muscorum
2A	20181107	B	3	Sol	Espèce	Philoscia.muscorum
2B	20181106	bas	3	sol	macrofaune	Philoscia.muscorum
2B	20181106	bas	3	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	Sol	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	Sol	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	bas	1	litière	macrofaune	Philoscia.muscorum
2B	20181106	haut	3	litière	macrofaune	Philoscia.muscorum
1A	20181109	bas	3	L	macro	Isopoda
1A	20181109	bas	3	L	macro	Isopoda
1A	20181109	bas	3	L	macro	Isopoda
2B	20181106	haut	2	litière	macrofaune	Planipennes
2B	20181106	haut	1	sol	macrofaune	Platelminthe
2B	20181106	haut	1	sol	macrofaune	Polydesmidae
1A	20181109	bas	2	S	macro	Polyphaga
1A	20181109	milieu	2	S	macro	Polyphaga
2A	20181107	H	2	Sol	Ordre	Polyzoniida
1A	20181109	haut	3	L	macro	Porcellio.dilatatus
1A	20181109	haut	3	L	macro	Porcellio.dilatatus
1A	20181109	haut	3	L	macro	Porcellio.dilatatus
1A	20181109	milieu	3	L	macro	Porcellio.dilatatus
1A	20181109	bas	3	S	macro	Porcellio.dilatatus
2A	20181107	H	1	Litière	Espèce	Porcellio.dilatus
2A	20181107	H	1	Litière	Espèce	Porcellio.dilatus
2A	20181107	H	1	Litière	Espèce	Porcellio.dilatus
2A	20181107	H	1	Litière	Espèce	Porcellio.dilatus
2B	20181106	milieu	1	sol	macrofaune	Porcellio.scaber
2B	20181106	Haut	1	litière	macrofaune	Porcellio.scaber
2B	20181106	Haut	1	litière	macrofaune	porcellio.scaber
2A	20181107	B	3	Litière	Espèce	Porcellio.scinicornis
2A	20181107	B	3	Litière	Espèce	Porcellio.scinicornis
2A	20181107	B	3	Litière	Espèce	Porcellio.scinicornis
2A	20181107	B	3	Litière	Espèce	Porcellio.scinicornis
2A	20181107	B	2	Litière	Famille	Isopoda
1B	20181109	M	1	OL	especes	Porcellionides.cingendus
1B	20181109	M	1	OL	especes	Porcellionides.cingendus
1B	20181109	M	1	OL	especes	Porcellionides.cingendus
1B	20181109	M	1	OL	especes	Porcellionides.cingendus
1B	20181109	M	1	OL	especes	Porcellionides.cingendus
1B	20181109	M	1	OL	especes	Porcellionides.cingendus
1B	20181109	M	1	OL	especes	Porcellionides.cingendus
1B	20181109	M	1	OL	especes	Porcellionides.cingendus
1B	20181109	M	1	OL	especes	Porcellionides.cingendus
2B	20181106	haut	3	litière	macrofaune	Porcellionides.cingendus
1B	20181109	H	1	OL	especes	Porcellionides.cingendus
1B	20181109	H	3	OL	especes	Protura
2B	20181106	milieu	3	litière	macrofaune	Pseudoscorpion
1A	20181109	bas	1	L	macro	Pulmonata
2B	20181106	Haut	1	litière	macrofaune	Pulmonata
1A	20181109	milieu	1	S	macro	Scolopendromorpha
1A	20181109	milieu	1	S	macro	Scolopendromorpha
1A	20181109	haut	1	L	macro	Scolopendromorpha
1A	20181109	haut	1	L	macro	Scolopendromorpha
1A	20181109	haut	1	L	macro	Scolopendromorpha
1A	20181109	milieu	1	L	macro	Scolopendromorpha
1A	20181109	haut	2	S	macro	Scolopendromorpha
1A	20181109	haut	2	S	macro	Scolopendromorpha
1A	20181109	haut	1	S	macro	Scolopendromorpha
1A	20181109	haut	1	S	macro	Scolopendromorpha
1A	20181109	haut	1	S	macro	Scolopendromorpha
1A	20181109	haut	1	S	macro	Scolopendromorpha
1A	20181109	haut	1	S	macro	Scolopendromorpha
1A	20181109	haut	3	S	macro	Scolopendromorpha
1A	20181109	haut	3	S	macro	Scolopendromorpha
1A	20181109	milieu	3	S	macro	Scolopendromorpha
1A	20181109	bas	1	S	macro	Scolopendromorpha
1A	20181109	bas	1	S	macro	Scolopendromorpha
1A	20181109	bas	1	L	macro	Scolopendromorpha
1A	20181109	bas	1	L	macro	Scolopendromorpha
1B	20181109	H	2	OL	especes	Scolopendromorpha
1B	20181109	H	2	OL	especes	Scolopendromorpha
1B	20181109	M	2	OL	especes	Scolopendromorpha
1B	20181109	M	2	OL	especes	Scolopendromorpha
1B	20181109	M	2	A	especes	Scolopendromorpha
1B	20181109	M	1	OL	especes	Scolopendromorpha
2B	20181106	bas	2	sol	macrofaune	scolopendromorpha
2A	20181107	B	3	Litière	Famille	Scolopendromorphe
2A	20181107	H	2	Sol	Ordre	Scolopendromorphe
2A	20181107	H	2	Sol	Ordre	Scolopendromorphe
2A	20181107	H	3	Sol	Ordre	Scolopendromorphe
2A	20181107	H	3	Litière	Ordre	Scolopendromorphe
2A	20181107	M	3	Sol	Ordre	Scolopendromorphe
1B	20181109	H	1	A	especes	Scolopendromorphe
2B	20181106	Haut	1	litière	macrofaune	Stigmatomaster.subterranea
2B	20181106	Haut	1	litière	macrofaune	stigmatomaster.subterranea
2A	20181107	H	2	Litière	Famille	Isopoda
2B	20181106	bas	3	sol	macrofaune	Trachelipus.rathkei
2B	20181106	bas	3	litière	macrofaune	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	1	Sol	Espèce	Trachelipus.rathkei
2A	20181107	H	3	Litière	Espèce	Trachelipus.rathkei
2A	20181107	M	3	Litière	Espèce	Trachelipus.rathkei
2A	20181107	B	2	Litière	Famille	Isopoda
2A	20181107	B	2	Litière	Famille	Isopoda
1B	20181109	M	2	OL	especes	Trichonicus.pusillus
1B	20181109	M	2	OL	especes	Trichonicus.pusillus
1B	20181109	H	1	A	especes	Isopoda
2A	20181107	B	2	Litière	Famille	Isopoda
2A	20181107	B	2	Litière	Famille	Isopoda
2A	20181107	B	2	Litière	Famille	Isopoda
2B	20181106	bas	1	litière	macrofaune	Trichoniscoides.albidus
2B	20181106	bas	1	litière	macrofaune	Trichoniscoides.albidus
2B	20181106	bas	1	litière	macrofaune	Trichoniscoides.albidus
1B	20181109	H	3	A	especes	Trichoptera
1B	20181109	H	2	OL	especes	Trichoptera
1B	20181109	H	2	OL	especes	Trichoptera
1B	20181109	H	2	OL	especes	Trichoptera
1B	20181109	H	2	OL	especes	Trichoptera
1B	20181109	H	2	OL	especes	Trichoptera
1B	20181109	H	2	OL	especes	Trichoptera
1B	20181109	H	2	OL	especes	Trichoptera
1B	20181109	H	2	OL	especes	Trichoptera
1B	20181109	M	3	OL	especes	Trichoptera
1B	20181109	M	3	OL	especes	Trichoptera
1B	20181109	M	3	OL	especes	Trichoptera
1B	20181109	M	3	OL	especes	Trichoptera
1B	20181109	M	3	OL	especes	Trichoptera
1B	20181109	H	1	A	especes	Trichoptera
2A	20181107	H	1	Litière	Ordre	Trichoptera
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2B	20181106	bas	2	litière	macrofaune	Trichoniscus.pusillus
2A	20181107	B	1	Litière	Non.identifié	NonIdentifie
